customerID,gender,SeniorCitizen,Partner,Dependents,Day,year,month,dob,age,,,
7590-VHVEG,Female,,Yes,No,29,1998,1,1998-01-29,27,,,
5575-GNVDE,Male,,No,No,12,1983,9,1983-09-12,42,,,
3668-QPYBK,Male,,No,No,15,1996,5,1996-05-15,29,,,
7795-CFOCW,Male,,No,No,19,2001,2,2001-02-19,24,,,
9237-HQITU,Female,,No,No,23,1980,12,1980-12-23,44,,,
9305-CDSKC,Female,,No,No,22,1989,5,1989-05-22,36,,,
1452-KIOVK,Male,,No,Yes,16,1989,9,1989-09-16,36,,,
6713-OKOMC,Female,,No,No,1,1981,8,1981-08-01,44,,,
7892-POOKP,Female,,Yes,No,9,2000,11,2000-11-09,24,,,
6388-TABGU,Male,,No,Yes,16,1997,3,1997-03-16,28,,,
9763-GRSKD,Male,,Yes,Yes,21,2008,4,2008-04-21,17,,,
7469-LKBCI,Male,,No,No,10,1985,10,1985-10-10,39,,,
8091-TTVAX,Male,,Yes,No,7,1999,6,1999-06-07,26,,,
0280-XJGEX,Male,,No,No,27,1990,6,1990-06-27,35,,,
5129-JLPIS,Male,,No,No,19,1982,1,1982-01-19,43,,,
3655-SNQYZ,Female,,Yes,Yes,15,2000,2,2000-02-15,25,,,
8191-XWSZG,Female,,No,No,7,1992,3,1992-03-07,33,,,
9959-WOFKT,Male,,No,Yes,24,1984,6,1984-06-24,41,,,
4190-MFLUW,Female,,Yes,Yes,30,1982,11,1982-11-30,42,,,
4183-MYFRB,Female,,No,No,16,2010,10,2010-10-16,14,,,
8779-QRDMV,Male,,No,No,24,1997,1,1997-01-24,28,,,
1680-VDCWW,Male,,Yes,No,13,1992,2,1992-02-13,33,,,
1066-JKSGK,Male,,No,No,7,1993,2,1993-02-07,32,,,
3638-WEABW,Female,,Yes,No,5,1995,4,1995-04-05,30,,,
6322-HRPFA,Male,,Yes,Yes,17,2010,9,2010-09-17,14,,,
6865-JZNKO,Female,,No,No,27,1989,11,1989-11-27,35,,,
6467-CHFZW,Male,,Yes,Yes,20,1980,9,1980-09-20,44,,,
8665-UTDHZ,Male,,Yes,Yes,10,1990,11,1990-11-10,34,,,
5248-YGIJN,Male,,Yes,No,2,1994,12,1994-12-02,30,,,
8773-HHUOZ,Female,,No,Yes,24,1986,12,1986-12-24,38,,,
3841-NFECX,Female,,Yes,No,27,2001,10,2001-10-27,23,,,
4929-XIHVW,Male,,Yes,No,24,2006,9,2006-09-24,18,,,
6827-IEAUQ,Female,,Yes,Yes,2,2009,7,2009-07-02,16,,,
7310-EGVHZ,Male,,No,No,30,2003,9,2003-09-30,21,,,
3413-BMNZE,Male,,No,No,23,1984,11,1984-11-23,40,,,
6234-RAAPL,Female,,Yes,Yes,30,2006,7,2006-07-30,19,,,
6047-YHPVI,Male,,No,No,24,2006,2,2006-02-24,19,,,
6572-ADKRS,Female,,No,No,4,1993,12,1993-12-04,31,,,
5380-WJKOV,Male,,No,No,17,1983,10,1983-10-17,41,,,
8168-UQWWF,Female,,No,No,1,2003,4,2003-04-01,22,,,
8865-TNMNX,Male,,Yes,Yes,1,2003,3,2003-03-01,22,,,
9489-DEDVP,Female,,Yes,Yes,24,2012,10,2012-10-24,12,,,
9867-JCZSP,Female,,Yes,Yes,30,1998,6,1998-06-30,27,,,
4671-VJLCL,Female,,No,No,25,1989,6,1989-06-25,36,,,
4080-IIARD,Female,,Yes,No,24,2009,5,2009-05-24,16,,,
3714-NTNFO,Female,,No,No,4,1997,11,1997-11-04,27,,,
5948-UJZLF,Male,,No,No,24,1993,10,1993-10-24,31,,,
7760-OYPDY,Female,,No,No,17,1985,7,1985-07-17,40,,,
7639-LIAYI,Male,,No,No,23,2001,3,2001-03-23,24,,,
2954-PIBKO,Female,,Yes,Yes,22,2008,8,2008-08-22,17,,,
8012-SOUDQ,Female,,No,No,4,1988,11,1988-11-04,36,,,
9420-LOJKX,Female,,No,No,14,2001,6,2001-06-14,24,,,
